Year,Afghanistan,Burundi,Democratic Republic of Congo,Ethiopia,India,Iraq,Rwanda,Sri Lanka,Sudan,Syria
1990,1489.99929,7,147.0000033,19170.99996,3805.095319,2029.725368,2643.999183,6249.998998,4104.406258,0
1991,3370.000153,394.9999934,35,6383.003208,4830.603381,23678.99328,1101.999012,7657.000826,2803.321683,0
1992,4343.997795,122.0000078,74.99999986,504.000135,4849.38914,1053.405943,1083.999774,5367.999106,2413.540004,0
1993,4097.000207,5,105.9999941,62,1923.504361,840.2973856,958.9999732,2120.000077,1591.056749,0
1994,8959.000461,12764.86357,185.9999955,82.00000163,1805.180188,813.2290667,50422.9835,1207.001051,652.6519182,0
1995,5508.000168,13082.98732,94.99999974,47.99999992,1393.396739,688.2087235,4341.985117,5859.002033,1115.992062,0
1996,3254.999587,13870.85296,34473.01672,185.0000422,1845.852564,485.5413839,437.9999336,4918.001565,2050.294407,14.99999997
1997,6722.996878,13777.95628,39485.7044,33.97545138,3211.240558,450.3748926,6271.033131,3384.997666,5027.001041,70.05193161
1998,12065.00989,13095.0321,10028.99671,4043.402299,2804.139579,306.9662116,2607.998533,4510.000237,5880.999004,13.61038605
1999,5104.000044,13324.88946,9008.997145,41258.20457,3965.290884,293.2152276,50.00000208,2156.000016,1755.999928,6.726682976
2000,5429.002257,14136.81268,2786.999493,51183.00138,5458.141406,335.2038174,2016.99898,3017.001434,3335.999699,6.805193041
2001,5727.006858,13679.98615,2162.000479,378.6751467,5500.778217,306.2667835,2047.000224,1356.999778,3768.999932,13.61038611
2002,985.000023,13231.9297,6351.001517,615.0117961,4691.936581,297.9661984,800.9989137,11,6422.98984,68.05193262
2003,864.0000768,13262.82259,3744.999797,895.3356788,3974.14357,762.5333931,502.9999154,52.9999991,8371.008112,54.44154383
2004,1042.999637,12763.82239,898.0000333,583.9733664,3268.929773,2366.214866,16.00000004,53.99999809,12626.01551,7.402596499
2005,2078.000062,12910.80761,569.999999,245.2486828,3664.798519,3465.292907,4.000000021,223.0000034,1824.000008,23.81817577
2006,5677.001213,237.0000044,458.9999957,210.1953371,3691.020648,23266.94223,13.0000001,3085.997023,2412.00132,685.5191234
2007,8216.000975,34.99999954,963.9999977,858.3589107,3031.282674,25603.13012,17.99999981,2963.000294,1535.000194,340.2596115
2008,6748.999931,272.0000109,3679.998679,1005.852617,2609.000025,8793.001071,9.000000125,8799.002726,1948.000329,137.0908774
2009,7562.996178,48.00000386,9032.999401,1004.589254,2964.861343,5701.98662,6.000000018,10613.9995,2063.000213,44.20778908
2010,8117.00062,205.999959,1757.000091,561.8843968,3465.000467,6238.001533,19.00000027,8476.97407,1505.000142,6.805193039
2011,9061.000023,197.9999463,639.9999905,385.4136842,1967.329669,6032.006982,2.999999995,2,2653.997635,11337.80678
2012,11332.99,28.00000025,2195.999819,442.9998153,1327.017168,7307.993299,31.00000017,0,1851.999965,60958.68303
2013,11816.97473,24.99999974,2893.999862,398.380909,1403.159566,16889.95102,10.99999995,6.966315075,1445.000794,50783.3487
2014,17949.99611,58.0000003,1937.999924,107.5692209,1685.621384,33297.02646,3.999999999,3,1728.999727,73538.91902
2015,23661.95147,660.000119,1150.000041,404.1218034,1414.482338,26413.05561,2.999999999,3.000000003,0,55169.91292
2016,28050.86679,365.9999662,1244.000054,776.9977021,2043.821189,28579.9092,8.000000082,0,2329.999996,55472.16964
2017,1662.000127,236.9999435,2790.999446,1061.000202,766.0000036,33240.11405,3.999999998,1,1367.000426,41378.34528
